Date,AAPL,AMZN,AXP,BAC,GOOG,GS,Unknown,MS,MSFT
2020-12-09,121.77999877929688,155.2100067138672,121.69000244140625,28.799999237060547,89.20649719238281,242.82000732421875,121.05000305175781,64.37000274658203,211.8000030517578
2020-12-10,123.23999786376953,155.07449340820312,121.83999633789062,29.110000610351562,88.7665023803711,244.39999389648438,120.2699966430664,64.44000244140625,210.52000427246094
2020-12-11,122.41000366210938,155.8209991455078,120.2300033569336,28.56999969482422,89.0885009765625,239.99000549316406,119.55999755859375,63.31999969482422,213.25999450683594
2020-12-14,121.77999877929688,157.84849548339844,117.36000061035156,28.219999313354492,88.00299835205078,237.7899932861328,118.30000305175781,61.880001068115234,214.1999969482422
2020-12-15,127.87999725341797,158.25599670410156,119.0999984741211,28.639999389648438,88.38849639892578,242.42999267578125,120.31999969482422,63.95000076293945,214.1300048828125
2020-12-16,127.80999755859375,162.04800415039062,119.0,28.719999313354492,88.1500015258789,243.77000427246094,120.66999816894531,64.2300033569336,219.27999877929688
2020-12-17,128.6999969482422,161.8040008544922,118.9800033569336,28.829999923706055,87.3949966430664,244.42999267578125,119.66999816894531,64.66999816894531,219.4199981689453
2020-12-18,126.66000366210938,160.08250427246094,117.51000213623047,28.670000076293945,86.55049896240234,242.1300048828125,119.08000183105469,64.18000030517578,218.58999633789062
2020-12-21,128.22999572753906,160.3090057373047,116.41000366210938,29.739999771118164,86.96849822998047,256.9800109863281,123.55000305175781,67.83000183105469,222.58999633789062
2020-12-22,131.8800048828125,160.3260040283203,114.55000305175781,29.209999084472656,86.17500305175781,250.08999633789062,121.66999816894531,66.63999938964844,223.94000244140625
2020-12-23,130.9600067138672,159.2635040283203,116.94999694824219,30.049999237060547,86.61900329589844,256.45001220703125,125.06999969482422,68.20999908447266,221.02000427246094
2020-12-24,131.97000122070312,158.63450622558594,117.3499984741211,29.959999084472656,86.94249725341797,256.1600036621094,124.5199966430664,68.08999633789062,222.75
2020-12-28,136.69000244140625,164.197998046875,118.36000061035156,30.1299991607666,88.80449676513672,259.5899963378906,125.33999633789062,68.05000305175781,224.9600067138672
2020-12-29,134.8699951171875,166.10000610351562,118.13999938964844,30.010000228881836,87.93599700927734,258.010009765625,125.01000213623047,67.70999908447266,224.14999389648438
2020-12-30,133.72000122070312,164.29249572753906,119.43000030517578,29.979999542236328,86.97599792480469,259.45001220703125,125.36000061035156,67.83999633789062,221.67999267578125
2020-12-31,132.69000244140625,162.84649658203125,120.91000366210938,30.309999465942383,87.59400177001953,263.7099914550781,127.06999969482422,68.52999877929688,222.4199981689453
2021-01-04,129.41000366210938,159.3314971923828,118.04000091552734,30.030000686645508,86.41200256347656,265.0,125.87000274658203,68.33000183105469,217.69000244140625
2021-01-05,131.00999450683594,160.92550659179688,118.66999816894531,30.260000228881836,87.0459976196289,270.92999267578125,125.6500015258789,69.48999786376953,217.89999389648438
2021-01-06,126.5999984741211,156.91900634765625,123.05999755859375,32.150001525878906,86.7645034790039,285.54998779296875,131.5500030517578,73.68000030517578,212.25
2021-01-07,130.9199981689453,158.10800170898438,121.66000366210938,32.86000061035156,89.36250305175781,291.6499938964844,135.8699951171875,74.94000244140625,218.2899932861328
2021-01-08,132.0500030517578,159.13499450683594,121.77999877929688,32.529998779296875,90.3604965209961,290.0799865722656,136.02000427246094,75.25,219.6199951171875
2021-01-11,128.97999572753906,155.7104949951172,121.05999755859375,33.06999969482422,88.33599853515625,293.8299865722656,138.0500030517578,76.05999755859375,217.49000549316406
2021-01-12,128.8000030517578,156.04150390625,121.62000274658203,33.65999984741211,87.32749938964844,302.2099914550781,140.22000122070312,75.80000305175781,214.92999267578125
2021-01-13,130.88999938964844,158.29449462890625,122.4000015258789,33.459999084472656,87.72000122070312,302.94000244140625,140.35000610351562,75.55999755859375,216.33999633789062
2021-01-14,128.91000366210938,156.37350463867188,123.77999877929688,33.9900016784668,87.00900268554688,307.8699951171875,141.1699981689453,76.47000122070312,213.02000427246094
2021-01-15,127.13999938964844,155.21249389648438,122.1500015258789,33.0099983215332,86.80950164794922,301.010009765625,138.63999938964844,75.23999786376953,212.64999389648438
2021-01-19,127.83000183105469,156.03799438476562,126.75,32.77000045776367,89.54299926757812,294.20001220703125,138.0399932861328,74.98999786376953,216.44000244140625
2021-01-20,132.02999877929688,163.16900634765625,128.94000244140625,32.34000015258789,94.34500122070312,290.4700012207031,135.97000122070312,74.83999633789062,224.33999633789062
2021-01-21,136.8699951171875,165.34950256347656,127.43000030517578,31.770000457763672,94.5625,289.3699951171875,134.8300018310547,74.69999694824219,224.97000122070312
2021-01-22,139.07000732421875,164.6114959716797,126.13999938964844,31.549999237060547,95.05249786376953,289.3900146484375,133.7899932861328,74.12999725341797,225.9499969482422
2021-01-25,142.9199981689453,164.6999969482422,121.1500015258789,31.15999984741211,94.97000122070312,283.0400085449219,132.1199951171875,72.37999725341797,229.52999877929688
2021-01-26,143.16000366210938,166.30650329589844,116.1500015258789,30.940000534057617,95.86199951171875,281.760009765625,131.5800018310547,71.20999908447266,232.3300018310547
2021-01-27,142.05999755859375,161.62899780273438,114.08999633789062,29.829999923706055,91.53949737548828,273.3299865722656,127.86000061035156,68.41999816894531,232.89999389648438
2021-01-28,137.08999633789062,161.88099670410156,118.97000122070312,30.31999969482422,93.15550231933594,275.0199890136719,130.11000061035156,69.31999969482422,238.92999267578125
2021-01-29,131.9600067138672,160.30999755859375,116.26000213623047,29.649999618530273,91.78700256347656,271.1700134277344,128.6699981689453,67.05000305175781,231.9600067138672
2021-02-01,134.13999938964844,167.1439971923828,117.02999877929688,29.959999084472656,95.06749725341797,274.7300109863281,129.6199951171875,67.66999816894531,239.64999389648438
2021-02-02,134.99000549316406,169.0,120.69999694824219,31.030000686645508,96.37550354003906,286.9700012207031,133.61000061035156,70.94999694824219,239.50999450683594
2021-02-03,133.94000244140625,165.62649536132812,120.44000244140625,31.579999923706055,103.50350189208984,288.54998779296875,135.13999938964844,70.5999984741211,243.0
2021-02-04,137.38999938964844,166.5500030517578,124.9000015258789,32.5,103.11849975585938,293.75,138.25,72.29000091552734,242.00999450683594
2021-02-05,136.75999450683594,167.6074981689453,126.27999877929688,32.369998931884766,104.9000015258789,293.5,137.97999572753906,73.22000122070312,242.1999969482422
2021-02-08,136.91000366210938,166.14700317382812,127.98999786376953,33.09000015258789,104.64550018310547,300.1499938964844,140.13999938964844,74.2300033569336,242.47000122070312
2021-02-09,136.00999450683594,165.25,126.68000030517578,32.95000076293945,104.17549896240234,300.4599914550781,139.5800018310547,74.23999786376953,243.77000427246094
2021-02-10,135.38999938964844,164.32899475097656,128.22999572753906,32.97999954223633,104.76899719238281,304.2799987792969,139.66000366210938,74.33000183105469,242.82000732421875
2021-02-11,135.1300048828125,163.10650634765625,128.30999755859375,32.880001068115234,104.79450225830078,302.32000732421875,139.27000427246094,73.72000122070312,244.49000549316406
2021-02-12,135.3699951171875,163.885498046875,129.6199951171875,33.369998931884766,105.20549774169922,306.32000732421875,141.25,74.61000061035156,244.99000549316406
2021-02-16,133.19000244140625,163.44749450683594,130.67999267578125,34.27000045776367,106.09500122070312,311.9599914550781,144.64999389648438,76.05000305175781,243.6999969482422
2021-02-17,130.83999633789062,165.4320068359375,128.55999755859375,34.40999984741211,106.41549682617188,312.739990234375,145.10000610351562,75.44999694824219,244.1999969482422
2021-02-18,129.7100067138672,166.4114990234375,128.49000549316406,34.189998626708984,105.86000061035156,309.8999938964844,145.58999633789062,74.83000183105469,243.7899932861328
2021-02-19,129.8699951171875,162.4949951171875,131.7100067138672,34.540000915527344,105.05699920654297,315.6199951171875,148.02000427246094,76.0,240.97000122070312
2021-02-22,126.0,159.03700256347656,135.9499969482422,35.150001525878906,103.24400329589844,316.8699951171875,149.41000366210938,77.4000015258789,234.50999450683594
2021-02-23,125.86000061035156,159.72500610351562,136.94000244140625,35.52000045776367,103.54299926757812,319.2099914550781,150.61000061035156,77.5,233.27000427246094
2021-02-24,125.3499984741211,157.97650146484375,139.88999938964844,36.380001068115234,104.75849914550781,330.6400146484375,153.25999450683594,79.87999725341797,234.5500030517578
2021-02-25,120.98999786376953,152.85800170898438,137.0800018310547,35.93000030517578,101.56800079345703,327.760009765625,151.17999267578125,78.43000030517578,228.99000549316406
2021-02-26,121.26000213623047,154.64649963378906,135.25999450683594,34.709999084472656,101.84300231933594,319.4800109863281,147.1699981689453,76.87000274658203,232.3800048828125
2021-03-01,127.79000091552734,157.3070068359375,138.7100067138672,35.790000915527344,104.07550048828125,329.9200134277344,150.5,79.16000366210938,236.94000244140625
2021-03-02,125.12000274658203,154.72650146484375,139.25,35.529998779296875,103.79199981689453,330.94000244140625,150.00999450683594,80.79000091552734,233.8699951171875
2021-03-03,122.05999755859375,150.25,142.58999633789062,36.41999816894531,101.33550262451172,334.42999267578125,152.91000366210938,82.05999755859375,227.55999755859375
2021-03-04,120.12999725341797,148.8784942626953,142.67999267578125,36.5,102.45449829101562,329.2900085449219,150.55999755859375,81.11000061035156,226.72999572753906
2021-03-05,121.41999816894531,150.0229949951172,147.3300018310547,36.93000030517578,105.427001953125,327.3699951171875,150.91000366210938,80.87000274658203,231.60000610351562
2021-03-08,116.36000061035156,147.59750366210938,150.27000427246094,37.130001068115234,101.20850372314453,334.19000244140625,152.91000366210938,81.0999984741211,227.38999938964844
2021-03-09,121.08999633789062,153.1425018310547,145.10000610351562,36.31999969482422,102.63500213623047,330.5899963378906,151.8300018310547,80.8499984741211,233.77999877929688
2021-03-10,119.9800033569336,152.8820037841797,146.75,37.369998931884766,102.75150299072266,342.0199890136719,155.1300048828125,83.08999633789062,232.4199981689453
2021-03-11,121.95999908447266,155.67950439453125,147.75,37.2400016784668,105.7385025024414,342.1000061035156,154.32000732421875,83.25,237.1300048828125
2021-03-12,121.02999877929688,154.47450256347656,148.5399932861328,37.939998626708984,103.09600067138672,348.80999755859375,156.14999389648438,84.33999633789062,235.75
2021-03-15,123.98999786376953,154.08399963378906,146.99000549316406,37.75,103.32450103759766,346.04998779296875,155.3699951171875,83.86000061035156,234.80999755859375
2021-03-16,125.56999969482422,154.59300231933594,143.3000030517578,37.63999938964844,104.6259994506836,341.7099914550781,153.50999450683594,82.54000091552734,237.7100067138672
2021-03-17,124.76000213623047,156.7864990234375,144.67999267578125,37.95000076293945,104.55400085449219,344.95001220703125,155.08999633789062,83.86000061035156,237.0399932861328
2021-03-18,120.52999877929688,151.39950561523438,142.5800018310547,38.939998626708984,101.81099700927734,348.0,157.64999389648438,83.94000244140625,230.72000122070312
2021-03-19,119.98999786376953,153.7480010986328,140.7100067138672,38.529998779296875,102.16000366210938,344.20001220703125,155.13999938964844,82.94000244140625,230.35000610351562
2021-03-22,123.38999938964844,155.5435028076172,139.9499969482422,37.65999984741211,101.92949676513672,339.3299865722656,150.97000122070312,81.91999816894531,235.99000549316406
2021-03-23,122.54000091552734,156.875,136.0800018310547,36.900001525878906,102.64800262451172,331.7699890136719,149.4600067138672,79.12000274658203,237.5800018310547
2021-03-24,120.08999633789062,154.35350036621094,138.4199981689453,36.900001525878906,102.25299835205078,328.6499938964844,150.6199951171875,79.33000183105469,235.4600067138672
2021-03-25,120.58999633789062,152.31300354003906,142.27999877929688,37.65999984741211,102.21800231933594,330.54998779296875,152.5500030517578,80.12999725341797,232.33999633789062
2021-03-26,121.20999908447266,152.60150146484375,143.72999572753906,38.68000030517578,101.77749633789062,327.3900146484375,155.08999633789062,79.9800033569336,236.47999572753906
2021-03-29,121.38999938964844,153.7864990234375,142.3699951171875,38.310001373291016,102.79750061035156,325.7300109863281,152.67999267578125,77.87999725341797,235.24000549316406
2021-03-30,119.9000015258789,152.76449584960938,143.49000549316406,38.9900016784668,102.7770004272461,332.010009765625,154.47999572753906,79.08999633789062,231.85000610351562
